age,height,weight,gender,id,month
21,76,128,0,1,6
28,78,287,0,2,11
23,58,272,0,3,8
40,71,141,1,4,8
20,80,267,1,5,8
26,59,156,1,6,6
29,57,123,0,7,6
20,57,130,1,8,2
26,60,173,0,9,8
34,69,257,0,10,9
37,61,246,1,11,4
30,62,158,0,12,6
30,57,203,0,13,9
29,67,228,0,14,8
26,63,219,0,15,12
40,70,275,0,16,8
40,79,123,1,17,1
34,65,240,1,18,5
24,55,288,0,19,12
22,58,294,1,20,11
28,62,215,0,21,7
26,62,169,0,22,2
34,79,251,1,23,5
37,59,295,1,24,5
37,77,184,0,25,12
25,61,223,0,26,12
20,78,291,0,27,5
23,72,147,1,28,4
36,68,220,0,29,4
27,57,135,1,30,8
27,77,163,0,31,9
23,64,246,0,32,4
20,77,128,0,33,3
29,76,153,0,34,5
27,56,274,1,35,11
30,73,199,1,36,9
38,70,225,1,37,4
35,74,283,0,38,6
38,76,223,1,39,12
38,59,288,1,40,4
25,75,263,1,41,5
30,73,122,1,42,6
22,63,222,0,43,3
21,77,201,0,44,8
40,78,146,0,45,8
37,55,123,1,46,9
28,63,196,0,47,8
26,63,186,1,48,1
23,65,127,1,49,8
25,76,295,0,50,2
22,64,236,1,51,1
33,63,233,0,52,9
40,59,272,0,53,6
36,74,300,1,54,6
25,62,278,1,55,2
31,69,241,1,56,6
28,72,258,1,57,11
28,73,199,1,58,1
32,68,175,1,59,10
30,72,120,1,60,9
23,77,195,1,61,11
36,80,122,0,62,2
24,65,131,0,63,10
29,67,138,1,64,4
34,60,194,1,65,12
21,63,252,1,66,1
22,59,185,0,67,11
28,56,252,1,68,7
28,75,173,0,69,11
35,55,283,1,70,3
31,67,223,0,71,3
40,55,160,1,72,8
40,78,159,1,73,3
36,66,278,0,74,10
40,69,154,1,75,11
25,78,255,0,76,2
37,78,208,0,77,7
29,76,124,1,78,10
23,59,285,0,79,6
29,71,156,1,80,6
34,74,253,0,81,11
35,65,171,1,82,11
30,76,249,1,83,5
22,76,153,0,84,5
26,61,122,0,85,9
28,63,209,0,86,1
20,62,282,0,87,7
36,80,258,1,88,2
24,65,228,1,89,11
38,56,250,0,90,12
24,79,277,0,91,3
37,78,245,0,92,5
38,76,286,0,93,9
31,59,244,1,94,1
20,67,299,1,95,11
37,78,229,0,96,3
25,77,129,1,97,8
28,55,281,0,98,8
35,60,280,1,99,10
35,65,132,1,100,3
35,66,136,0,101,2
33,58,172,0,102,2
32,66,168,0,103,9
23,66,222,0,104,3
29,57,153,1,105,2
32,63,216,1,106,11
24,69,250,0,107,6
27,80,234,1,108,2
39,77,123,0,109,9
35,71,280,0,110,1
25,70,203,0,111,3
28,58,254,1,112,6
37,60,291,0,113,10
37,77,281,1,114,8
39,59,260,0,115,8
34,66,230,0,116,5
31,72,246,1,117,1
37,65,127,0,118,2
35,57,145,1,119,3
31,63,295,0,120,5
27,70,282,0,121,12
28,73,175,1,122,9
27,60,223,0,123,9
27,70,179,0,124,6
24,78,199,1,125,4
24,77,206,1,126,11
39,62,166,1,127,7
36,78,187,1,128,2
32,58,285,0,129,8
37,79,170,0,130,10
31,64,276,0,131,6
36,62,214,0,132,6
22,73,122,1,133,1
32,66,291,1,134,8
24,74,170,1,135,11
31,79,219,0,136,12
29,80,153,1,137,12
29,57,267,0,138,4
39,72,157,1,139,4
23,66,292,0,140,11
20,69,225,0,141,12
26,73,227,1,142,8
35,72,283,0,143,3
27,56,156,0,144,3
36,71,157,1,145,8
22,65,180,1,146,6
22,61,245,1,147,5
37,70,217,0,148,9
29,68,231,0,149,9
30,80,145,1,150,7
39,77,226,1,151,9
22,76,211,1,152,2
30,55,287,0,153,1
40,76,266,0,154,8
30,67,287,1,155,4
28,68,141,0,156,1
30,72,190,0,157,3
40,56,226,1,158,12
22,61,164,0,159,5
40,68,193,1,160,10
22,58,219,1,161,4
25,75,292,0,162,3
21,64,290,1,163,1
40,63,237,1,164,12
27,57,292,0,165,4
25,74,247,0,166,9
40,72,136,0,167,5
24,72,197,1,168,5
38,60,160,0,169,3
33,56,147,0,170,2
39,74,188,0,171,7
36,62,294,0,172,3
27,58,296,1,173,8
34,69,249,1,174,1
24,55,278,0,175,10
28,68,246,0,176,8
20,79,122,1,177,6
32,63,225,0,178,6
40,62,282,1,179,7
38,55,122,1,180,7
32,78,242,1,181,5
21,64,200,1,182,1
21,74,286,1,183,12
32,77,146,0,184,5
38,56,223,0,185,4
24,56,225,0,186,12
20,56,143,1,187,6
23,60,214,0,188,12
29,80,191,0,189,3
31,67,176,1,190,2
37,56,247,0,191,10
39,60,140,1,192,8
26,58,250,0,193,5
31,60,298,1,194,3
37,70,231,0,195,5
24,55,294,0,196,3
38,76,193,0,197,2
30,75,300,0,198,8
40,73,253,1,199,8
26,62,233,0,200,4
25,79,205,0,201,5
30,77,233,1,202,7
24,71,145,0,203,6
26,65,270,0,204,3
32,72,180,0,205,9
36,58,211,0,206,12
38,64,299,0,207,3
35,75,285,0,208,4
40,69,244,0,209,9
33,68,179,1,210,10
39,56,209,1,211,11
26,55,269,1,212,5
33,57,251,0,213,1
29,63,184,1,214,12
37,80,149,0,215,1
29,73,239,0,216,8
33,55,257,0,217,2
24,58,230,1,218,7
28,79,160,0,219,5
37,77,124,1,220,1
31,55,189,0,221,1
24,73,223,1,222,12
35,56,209,1,223,5
25,55,293,1,224,8
39,55,229,1,225,1
20,58,296,1,226,11
24,58,185,1,227,4
34,65,256,1,228,3
27,57,130,0,229,4
31,75,291,1,230,4
34,73,264,0,231,2
23,79,174,1,232,10
36,58,128,0,233,5
40,71,159,1,234,12
39,68,233,1,235,11
26,73,252,0,236,4
21,78,124,0,237,5
23,57,201,0,238,10
23,77,165,1,239,1
26,72,173,1,240,10
27,79,124,1,241,7
38,58,192,1,242,5
30,55,136,0,243,4
38,80,223,1,244,8
22,80,222,0,245,8
34,78,208,1,246,3
33,61,164,0,247,5
20,59,259,1,248,1
29,72,135,0,249,9
21,79,223,1,250,1
